FCC,Other ID,RA [deg],DEC [deg],Vr_NED/Maddox [km/s],e_Vr [km/s],Vr_Ref
,ESO 359-29,63.210917,-33.002028,878.0,5.0,1994A&AS..107..265G
,ESO 359-31,63.290029,-34.426321,1495.0,6.0,1994A&AS..107..265G
FCC 338,ESO 359-3,58.004166,-33.4675,1574.0,3.0,-
,ESO 360-10,66.8506,-33.5232,1153.0,22.0,1995AJ....109.2003G
,ESO 360-3,64.0414,-33.0618,2518.0,10.0,2005ApJS..160..149S
,ESO 360-7,65.036,-36.6859,1158.0,8.0,2005ApJS..160..149S
,ESO 360-8,65.4372,-33.8457,1265.0,6.0,2005ApJS..160..149S
,ESO 418-8,52.877708,-30.213333,1195.0,1.0,2011ApJS..194...36W
,ESO 418-9,52.981732,-31.337625,972.0,5.0,1991ApJS...75..935
,ESO 419-13,60.173375,-30.831,1490.0,4.0,2003A&A...408..465M
,ESO 420-11,63.222208,-31.308194,1387.0,11.0,2017A&A...599A.104T
,ESO 420-15,64.424629,-31.291529,2761.0,11.0,2005ApJS..160..149S
,ESO 420-6,62.505864,-31.25831,1388.0,6.0,2005ApJS..160..149S
,ESO 420-9,62.752689,-31.407428,1367.0,3.0,1998A&AS..130..333T
,IC 2006,58.6187,-35.9672,1382.0,3.0,2000MNRAS.313..469S
,IC 2040,63.249042,-32.553278,1326.0,8.0,1994A&AS..107..265G
,IC 2041,63.145432,-32.817367,1260.0,29.0,1991RC3.9.C...0000d
,IC 2059,65.109583,-31.724583,2831.0,27.0,2003AJ....126.2268W
,LEDA 132225,58.9435875,-36.2620472,1738.0,45.0,20096dF...C...0000J
,LEDA 142353,43.913877,-36.335182,1680.0,50.0,1996ApJS..107..201L
," LEDA 142358",62.620339,-35.162214,1473.0,44.0,Loveday+1996
,LEDA 170051,55.245185,-38.855266,829.0,10.0,2006HIPAS.C...0000
,LEDA 3314679,62.697451,-32.816959,2608.0,0.0,2017ApJ...843...16K
,LEDA 592896,58.860354,-39.886609,1495.0,70.0,2005AJ....130.2012W
,LEDA 655120,61.17175,-34.965417,2341.0,45.0,20096dF...C...0000J
,LEDA 678875,65.354833,-33.249528,1563.0,45.0,20096dF...C...0000J
,LEDA 684913,62.860333,-32.857528,1088.0,64.0,20012dF...C...0000C
,LEDA 696873,63.307792,-32.100806,1169.0,64.0,20032dF...C...0000C
,LEDA 699440,49.697917,-31.911389,1709.0,89.0,20032dF...C...0000C
,LEDA 705828,47.872417,-31.382222,1559.0,7.0,2006HIPAS.C...0000
,LEDA 706380,47.841696,-31.33488,1565.0,0.0,2017ApJ...843...16K
,LEDA 707430,50.112083,-31.248111,1829.0,64.0,20032dF...C...0000C
,LEDA 707865,49.063583,-31.209472,1114.0,64.0,20012dF...C...0000C
,LEDA 712861,51.567,-30.7965,1529.0,89.0,20032dF...C...0000C
,LSBG F300-001,48.94350740394856,-38.52494586889521,1582.0,55.0,1996ApJS..107..201L
